"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 18, 2018","20,000","20,290","20,380","19,850","12.56K","-1.67%"
"Mar 11, 2018","20,340","20,920","20,990","20,310","12.51K","-2.87%"
"Mar 04, 2018","20,940","20,690","21,280","20,620","15.74K","1.55%"
"Feb 25, 2018","20,620","20,100","20,840","20,090","7.53K","3.10%"
"Feb 18, 2018","20,000","19,550","20,210","19,400","15.10K","2.51%"
"Feb 11, 2018","19,510","20,160","20,160","19,410","9.83K","-2.55%"
"Feb 04, 2018","20,020","20,150","20,300","19,750","13.27K","-0.69%"
"Jan 28, 2018","20,160","20,240","20,450","19,490","10.74K","-1.08%"
"Jan 21, 2018","20,380","20,980","21,020","20,260","10.18K","-2.72%"
"Jan 14, 2018","20,950","20,680","21,040","20,480","13.24K","1.11%"
"Jan 07, 2018","20,720","20,210","21,170","20,030","20.42K","2.37%"
"Dec 31, 2017","20,240","20,240","20,500","19,950","13.53K","0.75%"
"Dec 24, 2017","20,090","20,030","20,430","19,870","3.87K","1.01%"
"Dec 17, 2017","19,890","19,700","20,100","19,360","11.54K","0.76%"
"Dec 10, 2017","19,740","19,160","19,780","19,070","9.27K","2.76%"
"Dec 03, 2017","19,210","18,910","19,270","18,770","10.60K","1.91%"
"Nov 26, 2017","18,850","18,450","18,860","18,190","3.70K","2.00%"
"Nov 19, 2017","18,480","18,430","18,660","18,300","4.69K","0.27%"
"Nov 12, 2017","18,430","18,270","18,450","18,220","3.58K","1.10%"
"Nov 05, 2017","18,230","18,280","18,420","18,180","4.26K","-0.44%"
"Oct 29, 2017","18,310","19,150","19,150","18,180","2.50K","-4.09%"
"Oct 22, 2017","19,090","18,720","19,230","18,720","2.59K","2.25%"
"Oct 15, 2017","18,670","19,000","19,000","18,600","1.90K","-1.58%"
"Oct 08, 2017","18,970","18,680","19,600","18,680","5.06K","1.61%"
"Oct 01, 2017","18,670","18,450","18,760","18,380","3.09K","0.76%"
"Sep 24, 2017","18,530","18,400","18,640","18,240","4.16K","0.32%"
"Sep 17, 2017","18,470","18,650","18,690","18,240","3.38K","-0.75%"
"Sep 10, 2017","18,610","19,150","19,150","18,310","5.81K","-3.32%"
"Sep 03, 2017","19,250","18,750","19,460","18,750","6.13K","2.61%"
"Aug 27, 2017","18,760","18,600","18,790","18,310","4.34K","0.97%"
"Aug 20, 2017","18,580","18,300","18,690","18,040","3.89K","1.75%"
"Aug 13, 2017","18,260","18,650","18,670","18,200","2.92K","-1.78%"
"Aug 06, 2017","18,590","18,570","19,140","18,500","5.04K","0.11%"
"Jul 30, 2017","18,570","20,880","20,920","18,350","3.73K","-10.81%"
"Jul 23, 2017","20,820","20,210","20,900","20,210","5.68K","2.66%"
"Jul 16, 2017","20,280","19,960","20,450","19,900","6.04K","1.45%"
"Jul 09, 2017","19,990","20,630","20,750","19,860","6.71K","-2.82%"
"Jul 02, 2017","20,570","20,070","20,850","19,850","7.73K","3.99%"
"Jun 25, 2017","19,780","19,480","20,070","19,470","1.98K","0.71%"
"Jun 18, 2017","19,640","20,370","20,400","19,570","5.69K","-2.68%"
"Jun 11, 2017","20,180","20,720","20,800","19,820","11.07K","-2.70%"
"Jun 04, 2017","20,740","20,910","20,910","20,580","7.39K","-0.91%"
"May 28, 2017","20,930","20,800","21,190","20,750","4.75K","0.82%"
"May 21, 2017","20,760","20,910","21,030","20,640","7.55K","-0.86%"
"May 14, 2017","20,940","21,100","21,500","20,900","13.05K","-0.48%"
"May 07, 2017","21,040","20,560","21,170","20,480","13.20K","1.59%"
