"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 31, 2013","1,392.00","1,360.00","1,405.00","1,341.00","26.09K","2.28%"
"Mar 24, 2013","1,361.00","1,396.00","1,398.00","1,347.50","5.21K","-2.58%"
"Mar 17, 2013","1,397.00","1,370.50","1,415.50","1,364.00","7.32K","1.34%"
"Mar 10, 2013","1,378.50","1,414.00","1,445.00","1,370.00","5.35K","-2.92%"
"Mar 03, 2013","1,420.00","1,407.00","1,425.00","1,400.00","1.81K","0.42%"
"Feb 24, 2013","1,414.00","1,401.50","1,432.00","1,390.00","2.53K","0.39%"
"Feb 17, 2013","1,408.50","1,438.00","1,438.50","1,400.00","2.05K","-2.83%"
"Feb 10, 2013","1,449.50","1,413.00","1,458.50","1,396.50","2.45K","3.98%"
"Feb 03, 2013","1,394.00","1,448.00","1,478.00","1,380.00","5.34K","-4.09%"
"Jan 27, 2013","1,453.50","1,504.00","1,505.00","1,430.50","2.59K","-3.68%"
"Jan 20, 2013","1,509.00","1,516.00","1,531.00","1,493.00","1.12K","-0.26%"
"Jan 13, 2013","1,513.00","1,481.50","1,526.00","1,476.00","17.47K","1.58%"
"Jan 06, 2013","1,489.50","1,407.00","1,526.50","1,403.50","29.60K","5.75%"
"Dec 30, 2012","1,408.50","1,435.00","1,470.00","1,404.00","16.36K","-1.02%"
"Dec 23, 2012","1,423.00","1,469.50","1,484.00","1,413.00","7.03K","-3.43%"
"Dec 16, 2012","1,473.50","1,455.00","1,485.50","1,406.50","29.65K","1.20%"
"Dec 09, 2012","1,456.00","1,474.00","1,532.00","1,443.00","43.87K","-1.32%"
"Dec 02, 2012","1,475.50","1,492.00","1,497.50","1,426.00","32.93K","-0.74%"
"Nov 25, 2012","1,486.50","1,493.00","1,503.50","1,437.50","17.85K","-1.03%"
"Nov 18, 2012","1,502.00","1,413.00","1,523.00","1,401.50","18.91K","6.45%"
"Nov 11, 2012","1,411.00","1,364.00","1,418.00","1,356.00","17.12K","3.83%"
"Nov 04, 2012","1,359.00","1,344.00","1,374.00","1,326.50","26.43K","1.15%"
"Oct 28, 2012","1,343.50","1,345.00","1,375.00","1,333.00","17.41K","0.15%"
"Oct 21, 2012","1,341.50","1,384.00","1,384.00","1,326.00","10.54K","-2.40%"
"Oct 14, 2012","1,374.50","1,236.50","1,384.50","1,225.00","36.50K","10.49%"
"Oct 07, 2012","1,244.00","1,220.00","1,268.00","1,207.00","46.22K","2.39%"
"Sep 30, 2012","1,215.00","1,229.50","1,261.00","1,157.00","56.52K","-2.80%"
"Sep 23, 2012","1,250.00","1,242.00","1,297.00","1,207.00","19.73K","0.20%"
"Sep 16, 2012","1,247.50","1,238.00","1,262.00","1,169.50","35.30K","0.40%"
"Sep 09, 2012","1,242.50","1,203.00","1,248.00","1,155.50","62.29K","3.37%"
"Sep 02, 2012","1,202.00","1,286.50","1,293.00","1,195.00","69.09K","-6.97%"
"Aug 26, 2012","1,292.00","1,380.00","1,385.00","1,286.50","28.04K","-6.41%"
"Aug 19, 2012","1,380.50","1,420.00","1,422.00","1,350.00","25.14K","-2.78%"
"Aug 12, 2012","1,420.00","1,364.00","1,430.00","1,316.50","57.48K","4.41%"
"Aug 05, 2012","1,360.00","1,433.00","1,435.00","1,339.00","64.81K","-4.66%"
"Jul 29, 2012","1,426.50","1,429.00","1,469.50","1,365.50","80.97K","0.49%"
"Jul 22, 2012","1,419.50","1,570.00","1,570.00","1,415.00","43.52K","-9.21%"
"Jul 15, 2012","1,563.50","1,545.00","1,583.00","1,415.00","148.59K","1.49%"
"Jul 08, 2012","1,540.50","1,390.50","1,562.50","1,373.50","185.75K","10.79%"
"Jul 01, 2012","1,390.50","1,298.00","1,395.00","1,281.00","105.98K","7.54%"
"Jun 24, 2012","1,293.00","1,334.00","1,348.00","1,271.50","46.71K","-2.19%"
"Jun 17, 2012","1,322.00","1,245.00","1,330.00","1,193.00","98.64K","5.13%"
"Jun 10, 2012","1,257.50","1,246.00","1,281.00","1,244.00","33.02K","0.92%"
"Jun 03, 2012","1,246.00","1,300.00","1,300.00","1,220.00","61.10K","-4.85%"
"May 27, 2012","1,309.50","1,365.00","1,405.00","1,300.50","35.32K","-5.14%"
"May 20, 2012","1,380.50","1,476.50","1,497.00","1,350.00","14.91K","-6.69%"
"May 13, 2012","1,479.50","1,406.00","1,496.50","1,360.00","69.45K","4.26%"
"May 06, 2012","1,419.00","1,610.00","1,610.00","1,385.00","71.56K","-11.15%"
"Apr 29, 2012","1,597.00","1,655.00","1,695.00","1,565.00","35.57K","-2.68%"
"Apr 22, 2012","1,641.00","1,805.00","1,810.00","1,613.50","42.60K","-8.96%"
"Apr 15, 2012","1,802.50","1,700.00","1,833.50","1,680.00","175.75K","6.97%"
"Apr 08, 2012","1,685.00","1,542.00","1,688.50","1,530.50","55.01K","7.60%"
"Apr 01, 2012","1,566.00","1,656.00","1,710.00","1,566.00","18.22K","-5.09%"
"Mar 25, 2012","1,650.00","1,690.00","1,721.00","1,578.00","34.12K","-3.71%"
"Mar 18, 2012","1,713.50","1,533.00","1,783.00","1,531.00","28.66K","12.29%"
"Mar 11, 2012","1,526.00","1,541.00","1,542.00","1,466.50","4.14K","-1.61%"
"Mar 04, 2012","1,551.00","1,550.00","1,614.00","1,533.00","7.03K","-1.08%"
"Feb 26, 2012","1,568.00","1,410.00","1,603.00","1,406.00","8.88K","12.28%"
"Feb 19, 2012","1,396.50","1,280.00","1,396.50","1,280.00","1.55K","7.51%"
"Feb 12, 2012","1,299.00","1,264.00","1,317.00","1,241.00","0.78K","2.85%"
"Feb 05, 2012","1,263.00","1,284.00","1,284.00","1,258.60","0.02K","0.24%"
"Jan 29, 2012","1,260.00","1,280.00","1,280.00","1,241.00","0.03K","-0.14%"
"Jan 22, 2012","1,261.80","1,261.80","1,261.80","1,261.80","-","-1.59%"
"Jan 15, 2012","1,282.20","1,285.00","1,290.00","1,253.20","0.40K","-0.70%"
"Jan 08, 2012","1,291.20","1,266.00","1,307.00","1,260.60","0.74K","1.32%"
"Jan 01, 2012","1,274.40","1,248.00","1,277.00","1,248.00","0.14K","4.12%"
"Dec 25, 2011","1,224.00","1,215.00","1,215.00","1,215.00","0.02K","0.00%"
"Dec 18, 2011","1,224.00","1,190.00","1,250.00","1,190.00","0.50K","3.43%"
"Dec 11, 2011","1,183.40","1,183.00","1,205.00","1,180.20","0.90K","-0.67%"
"Dec 04, 2011","1,191.40","1,184.80","1,198.00","1,174.00","0.45K","1.31%"
"Nov 27, 2011","1,176.00","1,170.00","1,189.00","1,162.20","0.29K","0.51%"
"Nov 20, 2011","1,170.00","1,200.00","1,200.00","1,154.00","0.37K","-2.65%"
"Nov 13, 2011","1,201.80","1,170.00","1,210.00","1,119.20","3.40K","3.25%"
"Nov 06, 2011","1,164.00","1,165.00","1,178.00","1,156.20","0.89K","-0.05%"
"Oct 30, 2011","1,164.60","1,140.00","1,169.80","1,135.00","0.73K","1.62%"
"Oct 23, 2011","1,146.00","1,129.80","1,177.00","1,129.80","0.35K","2.10%"
"Oct 16, 2011","1,122.40","1,094.00","1,124.20","1,076.00","2.47K","1.98%"
"Oct 09, 2011","1,100.60","1,134.00","1,137.00","1,085.00","2.66K","-3.18%"
"Oct 02, 2011","1,136.80","1,116.00","1,146.00","1,115.00","0.50K","1.45%"
"Sep 25, 2011","1,120.60","1,195.00","1,215.60","1,112.20","0.87K","-4.63%"
"Sep 18, 2011","1,175.00","1,132.00","1,218.00","1,112.00","3.29K","4.06%"
"Sep 11, 2011","1,129.20","1,187.00","1,187.00","1,096.00","6.61K","-4.98%"
"Sep 04, 2011","1,188.40","1,170.00","1,194.00","1,151.00","1.85K","1.11%"
"Aug 28, 2011","1,175.40","1,195.00","1,211.00","1,172.20","0.63K","-2.54%"
"Aug 21, 2011","1,206.00","1,235.00","1,239.80","1,205.80","0.48K","-1.94%"
"Aug 14, 2011","1,229.80","1,242.00","1,262.00","1,190.00","4.82K","-0.68%"
"Aug 07, 2011","1,238.20","1,305.00","1,318.00","1,230.00","5.24K","-5.64%"
"Jul 31, 2011","1,312.20","1,344.00","1,347.00","1,305.60","1.41K","-2.86%"
"Jul 24, 2011","1,350.80","1,397.00","1,435.00","1,315.00","3.61K","-1.70%"
"Jul 17, 2011","1,374.20","1,338.80","1,378.00","1,300.00","4.80K","3.43%"
"Jul 10, 2011","1,328.60","1,327.00","1,345.60","1,307.00","10.59K","0.38%"
"Jul 03, 2011","1,323.60","1,336.00","1,347.00","1,320.00","2.05K","-0.69%"
"Jun 26, 2011","1,332.80","1,355.40","1,373.80","1,325.00","3.06K","-3.28%"
"Jun 19, 2011","1,378.00","1,329.00","1,383.00","1,305.00","6.12K","3.53%"
"Jun 12, 2011","1,331.00","1,380.00","1,399.60","1,325.00","13.70K","-3.76%"
"Jun 05, 2011","1,383.00","1,355.00","1,412.80","1,349.00","5.96K","2.41%"
"May 29, 2011","1,350.40","1,431.00","1,443.00","1,346.00","4.34K","-6.21%"
"May 22, 2011","1,439.80","1,475.00","1,486.80","1,425.40","3.57K","-3.59%"
"May 15, 2011","1,493.40","1,496.00","1,513.00","1,461.00","16.00K","0.20%"
"May 08, 2011","1,490.40","1,465.20","1,500.00","1,423.00","18.84K","0.65%"
"May 01, 2011","1,480.80","1,490.80","1,533.00","1,450.00","29.67K","1.33%"
"Apr 24, 2011","1,461.40","1,377.00","1,469.60","1,336.80","15.52K","5.96%"
"Apr 17, 2011","1,379.20","1,256.00","1,398.40","1,252.20","22.06K","11.10%"
"Apr 10, 2011","1,241.40","1,232.00","1,243.00","1,192.20","16.25K","1.09%"
"Apr 03, 2011","1,228.00","1,150.20","1,235.00","1,140.00","21.69K","6.52%"
"Mar 27, 2011","1,152.80","1,158.00","1,163.00","1,139.00","4.54K","-1.23%"
"Mar 20, 2011","1,167.20","1,150.00","1,175.00","1,114.20","8.51K","1.46%"
"Mar 13, 2011","1,150.40","1,170.60","1,202.00","1,147.00","5.51K","-1.62%"
"Mar 06, 2011","1,169.40","1,154.80","1,175.00","1,138.60","2.84K","0.97%"
"Feb 27, 2011","1,158.20","1,210.00","1,210.00","1,151.00","2.79K","-5.24%"
"Feb 20, 2011","1,222.20","1,209.00","1,243.00","1,205.00","2.57K","1.75%"
"Feb 13, 2011","1,201.20","1,245.00","1,245.00","1,194.80","3.38K","-4.47%"
"Feb 06, 2011","1,257.40","1,147.20","1,262.00","1,125.00","4.46K","10.16%"
"Jan 30, 2011","1,141.40","1,129.00","1,152.60","1,128.00","0.41K","0.35%"
"Jan 23, 2011","1,137.40","1,142.00","1,160.00","1,126.00","0.98K","-1.04%"
"Jan 16, 2011","1,149.40","1,110.00","1,170.00","1,093.00","3.50K","4.57%"
"Jan 09, 2011","1,099.20","1,084.00","1,175.00","1,078.00","3.64K","1.12%"
"Jan 02, 2011","1,087.00","1,055.00","1,105.00","1,055.00","1.47K","3.03%"
"Dec 26, 2010","1,055.00","1,055.00","1,065.00","1,055.00","0.13K","0.19%"
"Dec 19, 2010","1,053.00","1,055.00","1,065.00","1,045.00","0.15K","-7.57%"
"Dec 12, 2010","1,139.20","1,107.00","1,146.00","1,100.00","0.47K","1.17%"
"Dec 05, 2010","1,126.00","1,126.00","1,126.00","1,126.00","0.03K","1.99%"
"Nov 28, 2010","1,104.00","1,104.00","1,104.00","1,104.00","-","0.00%"
"Nov 21, 2010","1,104.00","1,104.00","1,104.00","1,104.00","-","0.00%"
"Nov 14, 2010","1,104.00","1,275.40","1,308.00","1,104.00","8.26K","-13.23%"
"Nov 07, 2010","1,272.40","1,273.00","1,285.00","1,243.40","2.40K","-0.22%"
"Oct 31, 2010","1,275.20","1,265.00","1,287.00","1,258.20","0.55K","0.69%"
"Oct 24, 2010","1,266.40","1,308.80","1,308.80","1,251.20","1.17K","-2.90%"
"Oct 17, 2010","1,304.20","1,309.80","1,315.80","1,287.00","7.40K","-0.85%"
"Oct 10, 2010","1,315.40","1,313.00","1,329.60","1,296.00","8.72K","0.15%"
"Oct 03, 2010","1,313.40","1,291.00","1,323.00","1,285.00","6.32K","1.89%"
"Sep 26, 2010","1,289.00","1,290.00","1,297.40","1,261.00","5.78K","0.51%"
"Sep 19, 2010","1,282.40","1,243.00","1,289.00","1,232.60","3.36K","3.34%"
"Sep 12, 2010","1,241.00","1,230.00","1,257.00","1,230.00","14.30K","0.76%"
"Sep 05, 2010","1,231.60","1,224.00","1,237.00","1,219.00","6.85K","0.56%"
"Aug 29, 2010","1,224.80","1,213.00","1,233.00","1,209.20","2.73K","0.97%"
"Aug 22, 2010","1,213.00","1,224.00","1,228.00","1,202.80","3.36K","-1.32%"
"Aug 15, 2010","1,229.20","1,211.80","1,233.00","1,200.00","19.58K","1.24%"
"Aug 08, 2010","1,214.20","1,226.20","1,240.00","1,201.00","16.11K","-1.03%"
"Aug 01, 2010","1,226.80","1,159.00","1,229.60","1,159.00","21.25K","5.63%"
"Jul 25, 2010","1,161.40","1,187.00","1,193.40","1,160.00","5.73K","-2.26%"
"Jul 18, 2010","1,188.20","1,160.00","1,199.00","1,155.00","14.45K","2.48%"
"Jul 11, 2010","1,159.40","1,148.00","1,166.00","1,137.20","12.28K","1.05%"
"Jul 04, 2010","1,147.40","1,141.00","1,149.20","1,126.00","4.96K","0.40%"
"Jun 27, 2010","1,142.80","1,174.20","1,184.80","1,141.00","10.74K","-2.07%"
"Jun 20, 2010","1,167.00","1,157.00","1,176.80","1,155.00","4.83K","1.50%"
"Jun 13, 2010","1,149.80","1,154.00","1,160.00","1,114.40","19.71K","-0.19%"
"Jun 06, 2010","1,152.00","1,120.00","1,158.00","1,083.00","32.63K","2.45%"
"May 30, 2010","1,124.40","1,142.80","1,166.40","1,114.80","19.48K","-0.97%"
"May 23, 2010","1,135.40","1,120.00","1,139.80","1,093.00","9.93K","1.99%"
"May 16, 2010","1,113.20","1,032.00","1,116.00","1,026.00","14.50K","7.29%"
"May 09, 2010","1,037.60","1,057.00","1,057.00","1,030.00","9.93K","-1.84%"
